$DMYI has an average technical rating and it also does not offer a high quality setup at the moment. https://www.chartmill.com/stock/analyzer/stock/DMYI?key=cf6913d4-13e8-4d19-8732-e2a2bc9a4ff3&amp;utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=DMYI&amp;utm_campaign=social_tracking,2021-09-25T17:28:00Z
$DMYI looking at the vote this will easily do 200%plus within 2 weeks. I have been in IT for over 15 yrs and this is the next big thing,2021-09-25T17:03:34Z
$DMYI when is the ticker change? Monday or Tuesday,2021-09-25T17:02:14Z
$DMYI https://youtu.be/oqr_QYgv-9c,2021-09-25T16:51:38Z
$DMYI https://youtu.be/Ex6zy-ZNFAE  Min (1:09:50) We are 5 or 8 years ahead of where we thought we would be at in the beginning.,2021-09-25T16:34:56Z
$DMYI people say this could be a 10 bagger in a few years. IMO it can 10 bag based on projections well before it is profitable. I would not be surprised if it happens in Year One. The potential profits are quite massive, and that will drive the SP.,2021-09-25T16:21:06Z
SweepCast alerted: $DMYI with Unusual Options Activity Alerted on $12.5 CALL Expiring: 10-15-2021 worth 30K🐂 |🥇 Start Using SweepCast!  https://www.sweepcast.com/optionflow?symbol=DMYI&amp;name=CALL&amp;strike=$12.5&amp;type=SWEEP&amp;pre=$30K&amp;exp=10-15-2021  🥇 |,2021-09-25T16:02:09Z
This is why Hedge Funds use A.I. $DMYI&#39;s 10-day Moving Average moved above its 50-day Moving Average on September 17, 2021. View odds for this and other indicators: https://srnk.us/go/3050607,2021-09-25T15:44:05Z
$DMYI hate the weekends bro I’m so fucking excited for Monday,2021-09-25T15:32:54Z
Top tickers from the Smart Money Unusual Options Activity Weekly Recap courtesy of real-time dashboard from https://insiderfinance.io:

1. CAN 497% OTM
2. TMC 180% OTM
3. BBIG 118% OTM
4. HOOD 83% OTM
5. CVM 76% OTM
6. GSAT 75% OTM
7. HOFV 70% OTM
8. CRVS 66% OTM
9. EKSO 52% OTM
10. SKLZ 50% OTM
11. $DMYI 50% OTM
12. $OEG 48% OTM
13. $ATER 45% OTM
14. $APRE 44% OTM
15. $IRNT 43% OTM
16. MRIN 42% OTM
17. TELL 41% OTM
18. AEHR 41% OTM
19. BKYI 41% OTM
20. FCEL 40% OTM
21. SPIR 40% OTM
22. AVPT 39% OTM
23. BROS 39% OTM
24. WISH 38% OTM
25. SPI 37% OTM
26. SDC 36% OTM
27. RAD 36% OTM
28. CCXI 36% OTM
29. AMC 35% OTM,2021-09-25T15:18:14Z
$DMYI 3456 watchers,2021-09-25T15:10:32Z
$DMYI option volume was 21X normal on Friday with 43,307 contracts. Call volume was 84% and put volume was 16%. https://tinyurl.com/ydpzmxx4,2021-09-25T14:22:56Z
