PostDate,Content,Author,RelativeDate,Likes,Dislikes
3 months ago,Like they say buy on rumours, sell on news ,   You can produce as many litres as you want per hour ,  but is it cost efficient, what is the octane of fuel produced,   And how much is market paying per litre wholesale,  who is the customer?    Non of these issues addressed.  Also , have not figured out how to de-sulferize the fuel so far ,  so long ways to go will be a bumpy road ,  and internal stock buying and selling certainly a means of raising capital for the company, do your d/d  be patient,michael,,1,1
3 months ago,Where can we see the webinar?,Christopher,,0,0
3 months ago,Webinar is starting now 11am,RVH,,1,0
3 months ago,A new 52-week high folks,RVH,,3,0
3 months ago,Bought my position today. Love idea of investing in Bio Diesel Producer.  Strong balance sheet and minimal debt and operating costs. Furthermore, exciting to see a company that’s from Alberta moving in the right direction! Goodluck all the longs.,Traxxas,,5,0
3 months ago,How so much volume but no price fluctuation?,Larry,,1,0
3 months ago,Also massive volume today!!  Over 5 million shares traded and its not even noon.  I think this is a good sign of things to come.  Let's sit tight:),RVH,,0,0
3 months ago,If you want to register for Cielo's live webinar, here is the link.  Its tomorrow at 11 am EST.  Thursday Oct 22, 2020https://attendee.gotowebinar.com/register/8620968717966851596,RVH,,0,0
3 months ago,Anyone know if there is a recording of the webinar from last Thursday?,kyle,,0,0
3 months ago,I like the CEO of this company. I can read people well and he seems entirely transparent about everything. This is why I believe this truly will rise up once people get to know what’s going on,Carl,,1,0
3 months ago,Did I not read somewhere or hear that the target was 2000 litres/hour?,RVH,,0,0
3 months ago,While Cielo's initial goal was to start the Facility slowly after the latest improvements, with expectations between 200 to 500 liters per hour, the Facility produced 800 liters per hour of distillate. After approximately four hours of continuous operation, Cielo scaled back production to allow its engineers the opportunity to analyze any maintenance or functional concerns at that level. Cielo plans to be back up to 800 liters per hour of continuous flow as early as next week following minor tweaks by the engineers and 1,000 liters per hour shortly thereafter. Additional updates on the production volumes will be discussed in the live webinar on Thursday, October 22nd at 11 am ET (webinar details provided below). With the Facility producing continuously, to management's knowledge, Cielo is now the first company to convert multiple waste streams (garbage) into renewable diesel, naphtha and kerosene (jet &amp; marine fuels).More,Brett,,2,0
3 months ago,Production levels hitting 800L/hr!,Brett,,0,0
3 months ago,https://www.thenewswire.com/press-releases/1k98Fbpgb-cielo-provides-positive-update-on-its-production-levels-signs-a-research-agreement-with-the-university-of-calgary-and-will-host-a-live-webinar-on-thursday-october-22nd.html,David,,6,0
3 months ago,Ah yahoo, where no one does their DD,Maximillian$,,0,0
4 months ago,Well whole world dont want trump in office , but today he anounces he is positive for corona, and the whole world panics and stocks drop, now that cracks me up,michael,,2,0
4 months ago,I find it very Strange , that a stock that is flat at six pennies has such volume daily, Only people selling would be somebody who bought at 4-5 pennies , surly has to be company shares , trying to raise cash,michael,,0,0
4 months ago,Any idea why we saw massive volume and hit .10 cents this week out of no where?,RVH,,0,0
4 months ago,300,000 shares, I hope it works out....,Christopher,,1,0
4 months ago,This should mean any day now. In their interview, they did say that the reason it was not climbing yet is that "everybody is waiting for us to announce that we are in positive revenue, we should see that by fall" They also answered in response for stock price forecast that they are planning to open up 40 plants in the next five years and that only 10 plants is enough to have the stock sitting at 10$. What i like about the interview is that the CEO doesn't seem like a Bull shytter, lol sorry for my typos it's for yahoo to allow the word on my post,Carl,,3,0
4 months ago,Cielo is relying on exemptive relief recently granted by Canadian securities regulatory authorities that allows it to delay the filing of its annual documents required by National Instrument 51-102 by August 28, 2020. In response to the coronavirus disease 2019 pandemic, securities regulatory authorities in Canada have granted a blanket exemption allowing issuers an additional 45 days to complete their regulatory filings. Accordingly, the British Columbia Securities Commission ("BCSC") has enacted BC Instrument 51-517 - Temporary Exemption from Certain Corporate Finance Requirements ("BCI 51-517").Cielo estimates that the Annual Filings will be available for filing on or before September 20, 2020.More,Carl,,0,0
4 months ago,https://stockhouse.com/news/press-releases/2020/09/21/cielo-announces-issuance-of-canadian-patent-to-licensor-and-provides-update-on,kyle,,2,0
4 months ago,When the whole market is down and this is up 35%.....I like this. Is there news leaking?,Brad,,1,0
4 months ago,retired by next year,Christopher,,2,0
4 months ago,the days off .045 are done,Jeremy,,0,0
4 months ago,and lift off,Jeremy,,0,0
4 months ago,https://www.youtube.com/watch?v=4BygNSAvEoA,Carl,,1,0
4 months ago,60 000 shares waiting for 0.035,Jeremy,,0,0
4 months ago,This may be the reason for such big volume lately....https://www.cielows.com/cielo-announces-its-facility-is-back-into-production/,Brad,,1,0
5 months ago,Why is this suddenly moving and have huge volume?,RVH,,0,0
5 months ago,Talked to the CEO recently... Don is really excited. Look for this to be generating revenue soon. They were to be online and producing last week. I wasn't sure how much per hour but he was hoping for 1000 liters an hour!This will be huuuge!! Mark it!DMACMore,big_dmac,,0,0
5 months ago,Crazy volume today!,kyle,,0,0
5 months ago,I've been watching this stock since june !,Carl,,1,0
5 months ago,hope this thing move soon,Jeremy,,0,0
5 months ago,Price seems to be moving more lately,Carl,,1,0
6 months ago,https://www.cielows.com/cielo-announces-issuance-of-u-s-patent-to-licensor/,alma,,0,0
6 months ago,BIG NEWS BUYY,Jeremy,,0,0
6 months ago,For those who didn't see the press release on their website...: https://www.cielows.com/cielo-raises-475000-in-seventh-tranche-of-private-placement-offering-of-convertible-debenture-units-and-provides-operational-update/,Brad,,0,0
6 months ago,Go Cielo !!!! lol it's july now so what's next?,Judith,,0,0
6 months ago,I would love to hear something?  Even if it’s negative lol,RVH,,2,0
7 months ago,This company making any moves? No movement lately,Tommy,,0,0
11 months ago,Anyone here?!,RVH,,2,0
last year,Let’s go baby!!!!!!!,RVH,,4,0
last year,If they can do this... that would be a game-changer in pollution of all types especially plastic....,Brian,,3,1
last year,Has anyone looked further into Don Allen? Is he legit or a scammer?,Jeetz,,0,0
2 years ago,What’s going on here.,Tyler,,0,2
2 years ago,Looking for a buy order at .11cents should rally nicely from there.,Ryan,,0,1
2 years ago,Seems like a decent company though.,Ryan,,1,1
2 years ago,Need a new website. It sucks.,Ryan,,2,1
2 years ago,Game time baby, make money, money, money,Moe,,1,2
2 years ago,I keep holding on here hoping one day to see a big gain.,Tyler,,1,1
2 years ago,I don't see any reason to be down so much today.,Jim,,0,2
2 years ago,Going to be huge. I’ve done my DD on Cielo and Don is the man to bring this company forward. I have big early entry position in this company , so excited. Good “LONG” ladies and gentlemen. Wait until 2019, January—February, this baby is going to start to fly. Get in early!,Nicholas,,2,1
3 years ago,http://www.stockhouse.com/companies/bullboard/c.cmc/cielo-waste-solutions-inc?postid=28345110,Moe,,1,0
3 years ago,Best stock ever!,Moe,,4,1
3 years ago,gonna be huge. be smart and get in on it early.,Ryan,,3,0
